Координаты: (223.0, 266.5); Яркость: 3021; Размер: 12; Тип: звезда
Координаты: (334.0, 254.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (392.5, 244.5); Яркость: 2263; Размер: 9; Тип: звезда
Координаты: (161.0, 214.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (299.0, 187.0); Яркость: 3904; Размер: 16; Тип: звезда
Координаты: (95.5, 179.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (231.0, 161.0); Яркость: 3858; Размер: 16; Тип: звезда
Координаты: (89.5, 162.0); Яркость: 21757; Размер: 110; Тип: звезда
Координаты: (104.5, 154.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (473.5, 152.0); Яркость: 21936; Размер: 110; Тип: звезда
Координаты: (47.5, 123.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (362.0, 100.0); Яркость: 8370; Размер: 36; Тип: звезда
Координаты: (200.5, 78.0); Яркость: 2814; Размер: 12; Тип: звезда
Координаты: (239.0, 68.5); Яркость: 3149985; Размер: 21098; Тип: звезда
