Координаты: (0.5, 70.0); Яркость: 489; Размер: 2; Тип: звезда
Координаты: (11.5, 65.5); Яркость: 5215; Размер: 25; Тип: звезда
Координаты: (16.0, 62.5); Яркость: 490; Размер: 2; Тип: звезда
Координаты: (3.0, 61.0); Яркость: 5215; Размер: 24; Тип: звезда
Координаты: (19.5, 58.0); Яркость: 2483; Размер: 12; Тип: звезда
Координаты: (0.5, 53.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (10.5, 52.5); Яркость: 3054; Размер: 15; Тип: звезда
Координаты: (14.0, 55.0); Яркость: 32199; Размер: 168; Тип: звезда
Координаты: (25.0, 47.0); Яркость: 3034; Размер: 16; Тип: звезда
Координаты: (1.5, 46.0); Яркость: 2784; Размер: 12; Тип: звезда
Координаты: (22.0, 43.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (8.5, 44.0); Яркость: 2028; Размер: 10; Тип: звезда
Координаты: (16.5, 44.0); Яркость: 3981; Размер: 20; Тип: звезда
Координаты: (19.5, 40.5); Яркость: 2040; Размер: 9; Тип: звезда
Координаты: (25.0, 39.5); Яркость: 1429; Размер: 6; Тип: звезда
Координаты: (1.5, 39.5); Яркость: 3376; Размер: 15; Тип: звезда
Координаты: (48.5, 35.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (3.5, 36.0); Яркость: 426; Размер: 2; Тип: звезда
Координаты: (9.0, 36.0); Яркость: 3330; Размер: 16; Тип: звезда
Координаты: (28.0, 33.5); Яркость: 485; Размер: 2; Тип: звезда
Координаты: (17.5, 35.0); Яркость: 11140; Размер: 56; Тип: звезда
Координаты: (49.5, 31.0); Яркость: 1354; Размер: 6; Тип: звезда
Координаты: (25.5, 30.5); Яркость: 199; Размер: 1; Тип: звезда
Координаты: (2.0, 31.5); Яркость: 2498; Размер: 12; Тип: звезда
Координаты: (30.0, 27.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (25.0, 26.5); Яркость: 423; Размер: 2; Тип: звезда
Координаты: (18.0, 27.0); Яркость: 6884; Размер: 32; Тип: звезда
Координаты: (1.5, 27.0); Яркость: 2674; Размер: 12; Тип: звезда
Координаты: (10.5, 21.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (6.5, 22.5); Яркость: 2176; Размер: 9; Тип: звезда
Координаты: (3.5, 19.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (22.0, 19.0); Яркость: 12100; Размер: 60; Тип: звезда
Координаты: (56.5, 13.5); Яркость: 232; Размер: 1; Тип: звезда
Координаты: (16.0, 14.0); Яркость: 954; Размер: 4; Тип: звезда
Координаты: (9.0, 14.0); Яркость: 3238; Размер: 16; Тип: звезда
Координаты: (33.5, 17.0); Яркость: 28945; Размер: 154; Тип: звезда
Координаты: (48.5, 14.5); Яркость: 27419; Размер: 143; Тип: звезда
Координаты: (24.5, 10.5); Яркость: 7454; Размер: 35; Тип: звезда
Координаты: (18.5, 9.0); Яркость: 1449; Размер: 6; Тип: звезда
Координаты: (62.0, 6.0); Яркость: 2002; Размер: 8; Тип: звезда
Координаты: (46.0, 7.5); Яркость: 8056; Размер: 42; Тип: звезда
Координаты: (9.5, 4.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (56.5, 4.5); Яркость: 2012; Размер: 9; Тип: звезда
Координаты: (16.5, 4.5); Яркость: 3346; Размер: 15; Тип: звезда
Координаты: (38.5, 3.5); Яркость: 2229; Размер: 9; Тип: звезда
Координаты: (56.0, 55.5); Яркость: 1972554; Размер: 12432; Тип: звезда
Координаты: (62.5, 1.5); Яркость: 2096; Размер: 9; Тип: звезда
Координаты: (50.0, 1.5); Яркость: 2393; Размер: 12; Тип: звезда
Координаты: (42.0, 0.5); Яркость: 509; Размер: 2; Тип: звезда
Координаты: (34.5, 1.0); Яркость: 1334; Размер: 6; Тип: звезда
Координаты: (29.5, 2.0); Яркость: 2842; Размер: 12; Тип: звезда
Координаты: (18.5, 0.5); Яркость: 255; Размер: 1; Тип: звезда
