Координаты: (143.5, 291.0); Яркость: 2192; Размер: 10; Тип: звезда
Координаты: (290.0, 289.0); Яркость: 987; Размер: 4; Тип: звезда
Координаты: (163.5, 287.0); Яркость: 2445; Размер: 10; Тип: звезда
Координаты: (260.5, 280.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (298.0, 280.0); Яркость: 845; Размер: 4; Тип: звезда
Координаты: (178.5, 281.0); Яркость: 5631; Размер: 28; Тип: звезда
Координаты: (185.0, 278.0); Яркость: 1014; Размер: 4; Тип: звезда
Координаты: (193.5, 274.5); Яркость: 236; Размер: 1; Тип: звезда
Координаты: (197.5, 273.0); Яркость: 1461; Размер: 6; Тип: звезда
Координаты: (216.0, 260.5); Яркость: 478; Размер: 2; Тип: звезда
Координаты: (298.5, 258.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (227.0, 258.5); Яркость: 2706; Размер: 12; Тип: звезда
Координаты: (243.5, 250.0); Яркость: 5404; Размер: 28; Тип: звезда
Координаты: (236.5, 251.0); Яркость: 5470; Размер: 30; Тип: звезда
Координаты: (300.5, 239.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (248.5, 230.5); Яркость: 179; Размер: 1; Тип: звезда
Координаты: (263.0, 229.0); Яркость: 1848; Размер: 8; Тип: звезда
Координаты: (269.0, 220.5); Яркость: 1507; Размер: 6; Тип: звезда
Координаты: (283.5, 217.5); Яркость: 225; Размер: 1; Тип: звезда
Координаты: (273.5, 213.5); Яркость: 2015; Размер: 9; Тип: звезда
Координаты: (276.0, 210.0); Яркость: 932; Размер: 4; Тип: звезда
Координаты: (284.0, 203.5); Яркость: 503; Размер: 2; Тип: звезда
Координаты: (277.5, 199.5); Яркость: 253; Размер: 1; Тип: звезда
Координаты: (248.5, 191.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (118.0, 189.0); Яркость: 907; Размер: 4; Тип: звезда
Координаты: (112.0, 190.0); Яркость: 3384; Размер: 16; Тип: звезда
Координаты: (15.5, 188.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (273.5, 187.5); Яркость: 249; Размер: 1; Тип: звезда
Координаты: (51.5, 184.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (265.5, 181.0); Яркость: 1425; Размер: 6; Тип: звезда
Координаты: (134.0, 179.0); Яркость: 968; Размер: 4; Тип: звезда
Координаты: (242.5, 176.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (154.5, 176.5); Яркость: 745; Размер: 3; Тип: звезда
Координаты: (143.5, 177.5); Яркость: 11525; Размер: 65; Тип: звезда
Координаты: (151.5, 171.5); Яркость: 243; Размер: 1; Тип: звезда
Координаты: (104.0, 172.0); Яркость: 993; Размер: 4; Тип: звезда
Координаты: (272.5, 164.5); Яркость: 199; Размер: 1; Тип: звезда
Координаты: (246.0, 163.5); Яркость: 463; Размер: 2; Тип: звезда
Координаты: (150.5, 157.5); Яркость: 235; Размер: 1; Тип: звезда
Координаты: (252.5, 145.5); Яркость: 2131; Размер: 9; Тип: звезда
Координаты: (257.5, 140.5); Яркость: 253; Размер: 1; Тип: звезда
Координаты: (242.5, 140.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (222.5, 133.5); Яркость: 213; Размер: 1; Тип: звезда
Координаты: (209.5, 129.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (268.5, 112.5); Яркость: 251; Размер: 1; Тип: звезда
Координаты: (295.5, 109.5); Яркость: 252; Размер: 1; Тип: звезда
Координаты: (65.0, 110.0); Яркость: 983; Размер: 4; Тип: звезда
Координаты: (57.5, 109.0); Яркость: 1380; Размер: 6; Тип: звезда
Координаты: (46.0, 109.0); Яркость: 945; Размер: 4; Тип: звезда
Координаты: (23.5, 106.0); Яркость: 1214; Размер: 6; Тип: звезда
Координаты: (237.5, 104.5); Яркость: 225; Размер: 1; Тип: звезда
Координаты: (25.5, 104.5); Яркость: 248; Размер: 1; Тип: звезда
Координаты: (38.0, 105.0); Яркость: 16521; Размер: 84; Тип: звезда
Координаты: (135.0, 102.0); Яркость: 967; Размер: 4; Тип: звезда
Координаты: (128.5, 101.5); Яркость: 3149; Размер: 15; Тип: звезда
Координаты: (122.0, 102.0); Яркость: 3218; Размер: 16; Тип: звезда
Координаты: (52.0, 100.5); Яркость: 501; Размер: 2; Тип: звезда
Координаты: (104.0, 100.0); Яркость: 871; Размер: 4; Тип: звезда
Координаты: (59.5, 98.5); Яркость: 695; Размер: 3; Тип: звезда
Координаты: (138.0, 98.0); Яркость: 1771; Размер: 8; Тип: звезда
Координаты: (151.5, 96.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (300.5, 96.5); Яркость: 735; Размер: 3; Тип: звезда
Координаты: (298.0, 91.0); Яркость: 1952; Размер: 8; Тип: звезда
Координаты: (236.5, 88.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (296.5, 84.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (115.5, 84.5); Яркость: 247; Размер: 1; Тип: звезда
Координаты: (275.5, 78.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (3.5, 75.5); Яркость: 252; Размер: 1; Тип: звезда
Координаты: (273.0, 70.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (111.5, 67.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (300.0, 66.0); Яркость: 903; Размер: 4; Тип: звезда
Координаты: (294.5, 62.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (298.0, 59.0); Яркость: 961; Размер: 4; Тип: звезда
Координаты: (282.0, 60.0); Яркость: 1773; Размер: 8; Тип: звезда
Координаты: (300.5, 57.5); Яркость: 235; Размер: 1; Тип: звезда
Координаты: (291.5, 56.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (214.5, 56.5); Яркость: 212; Размер: 1; Тип: звезда
Координаты: (281.5, 51.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (217.5, 51.0); Яркость: 1470; Размер: 6; Тип: звезда
Координаты: (96.0, 40.5); Яркость: 504; Размер: 2; Тип: звезда
Координаты: (271.5, 39.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (266.0, 40.0); Яркость: 978; Размер: 4; Тип: звезда
Координаты: (287.0, 37.0); Яркость: 925; Размер: 4; Тип: звезда
Координаты: (261.0, 36.5); Яркость: 476; Размер: 2; Тип: звезда
Координаты: (268.5, 31.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (274.0, 31.5); Яркость: 1394; Размер: 6; Тип: звезда
Координаты: (204.5, 31.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (148.0, 31.0); Яркость: 988; Размер: 4; Тип: звезда
Координаты: (160.0, 30.0); Яркость: 1000; Размер: 4; Тип: звезда
Координаты: (19.0, 30.0); Яркость: 952; Размер: 4; Тип: звезда
Координаты: (278.0, 27.0); Яркость: 1980; Размер: 8; Тип: звезда
Координаты: (270.5, 27.0); Яркость: 485; Размер: 2; Тип: звезда
Координаты: (293.5, 24.0); Яркость: 3936; Размер: 20; Тип: звезда
Координаты: (282.5, 22.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (300.0, 21.0); Яркость: 965; Размер: 4; Тип: звезда
Координаты: (280.5, 19.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (131.5, 18.5); Яркость: 184; Размер: 1; Тип: звезда
Координаты: (272.5, 18.0); Яркость: 509; Размер: 2; Тип: звезда
Координаты: (220.5, 17.5); Яркость: 194; Размер: 1; Тип: звезда
Координаты: (290.5, 15.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (278.0, 15.0); Яркость: 1012; Размер: 4; Тип: звезда
Координаты: (265.5, 14.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (296.0, 14.0); Яркость: 1006; Размер: 4; Тип: звезда
Координаты: (217.5, 13.5); Яркость: 252; Размер: 1; Тип: звезда
Координаты: (266.5, 12.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (282.0, 10.5); Яркость: 460; Размер: 2; Тип: звезда
Координаты: (271.0, 10.0); Яркость: 966; Размер: 4; Тип: звезда
Координаты: (245.5, 8.0); Яркость: 2319; Размер: 12; Тип: звезда
Координаты: (228.5, 7.5); Яркость: 760; Размер: 3; Тип: звезда
Координаты: (290.5, 8.0); Яркость: 3889; Размер: 18; Тип: звезда
Координаты: (256.0, 6.0); Яркость: 952; Размер: 4; Тип: звезда
Координаты: (240.0, 7.5); Яркость: 2347; Размер: 10; Тип: звезда
Координаты: (211.5, 4.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (272.5, 3.5); Яркость: 228; Размер: 1; Тип: звезда
Координаты: (53.5, 2.5); Яркость: 210; Размер: 1; Тип: звезда
Координаты: (297.0, 1.0); Яркость: 1748; Размер: 8; Тип: звезда
Координаты: (285.0, 1.0); Яркость: 1867; Размер: 8; Тип: звезда
Координаты: (124.0, 0.5); Яркость: 340; Размер: 2; Тип: звезда
