Координаты: (118.0, 270.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (360.5, 268.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (367.5, 262.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (288.5, 262.0); Яркость: 502; Размер: 2; Тип: звезда
Координаты: (257.5, 259.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (296.0, 257.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (177.5, 256.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (277.5, 255.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (185.5, 252.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (218.5, 251.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (260.5, 240.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (349.5, 237.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (277.0, 233.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (299.0, 230.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (218.5, 230.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (319.5, 224.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (242.0, 221.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (332.5, 217.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (94.0, 198.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (181.5, 194.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (25.0, 194.5); Яркость: 1529; Размер: 6; Тип: звезда
Координаты: (207.5, 181.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (308.0, 177.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (153.5, 175.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (308.5, 159.5); Яркость: 765; Размер: 3; Тип: звезда
Координаты: (206.5, 154.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (376.0, 151.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (310.5, 148.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (307.0, 142.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (326.5, 130.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (205.0, 129.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (275.5, 106.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (18.5, 103.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (304.0, 98.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (281.5, 77.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (265.0, 73.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (15.0, 45.5); Яркость: 3060; Размер: 12; Тип: звезда
Координаты: (355.5, 9.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (370.5, 0.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (206.5, 0.5); Яркость: 255; Размер: 1; Тип: звезда
