Координаты: (341.5, 266.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (94.5, 268.0); Яркость: 3044; Размер: 12; Тип: звезда
Координаты: (262.0, 265.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (381.0, 265.0); Яркость: 888; Размер: 4; Тип: звезда
Координаты: (41.5, 264.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (376.0, 263.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (142.5, 262.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (105.0, 262.5); Яркость: 453; Размер: 2; Тип: звезда
Координаты: (45.0, 260.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (281.5, 259.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (99.5, 261.0); Яркость: 2590; Размер: 12; Тип: звезда
Координаты: (35.5, 258.5); Яркость: 2279; Размер: 9; Тип: звезда
Координаты: (216.5, 256.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (96.5, 256.5); Яркость: 223; Размер: 1; Тип: звезда
Координаты: (63.0, 257.0); Яркость: 950; Размер: 4; Тип: звезда
Координаты: (206.5, 255.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (67.0, 256.5); Яркость: 1479; Размер: 6; Тип: звезда
Координаты: (89.0, 257.5); Яркость: 11287; Размер: 56; Тип: звезда
Координаты: (110.5, 254.0); Яркость: 1495; Размер: 6; Тип: звезда
Координаты: (138.0, 251.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (173.5, 251.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (60.5, 250.0); Яркость: 501; Размер: 2; Тип: звезда
Координаты: (111.5, 248.5); Яркость: 212; Размер: 1; Тип: звезда
Координаты: (193.5, 247.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (99.0, 248.0); Яркость: 1713; Размер: 8; Тип: звезда
Координаты: (31.5, 247.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (222.0, 244.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (85.0, 244.0); Яркость: 1018; Размер: 4; Тип: звезда
Координаты: (18.5, 243.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (31.0, 242.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (218.5, 241.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (97.0, 241.0); Яркость: 984; Размер: 4; Тип: звезда
Координаты: (56.0, 241.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (353.5, 240.5); Яркость: 764; Размер: 3; Тип: звезда
Координаты: (280.0, 239.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (240.5, 238.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (82.5, 238.0); Яркость: 501; Размер: 2; Тип: звезда
Координаты: (377.5, 236.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (177.5, 235.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (365.5, 234.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (205.0, 233.0); Яркость: 1000; Размер: 4; Тип: звезда
Координаты: (207.5, 229.5); Яркость: 244; Размер: 1; Тип: звезда
Координаты: (88.0, 230.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (356.0, 228.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (159.5, 228.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (56.5, 228.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (75.0, 226.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (128.5, 224.5); Яркость: 765; Размер: 3; Тип: звезда
Координаты: (27.5, 224.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (203.0, 224.0); Яркость: 3629; Размер: 16; Тип: звезда
Координаты: (169.0, 224.0); Яркость: 5671; Размер: 24; Тип: звезда
Координаты: (259.5, 221.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (211.5, 220.0); Яркость: 2240; Размер: 10; Тип: звезда
Координаты: (126.5, 219.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (154.0, 219.0); Яркость: 922; Размер: 4; Тип: звезда
