Координаты: (209.0, 266.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (162.0, 266.0); Яркость: 1011; Размер: 4; Тип: звезда
Координаты: (307.0, 254.5); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (230.5, 241.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (96.5, 241.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (201.5, 238.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (147.5, 236.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (191.0, 229.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (185.5, 224.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (134.5, 222.5); Яркость: 765; Размер: 3; Тип: звезда
Координаты: (291.0, 210.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (288.5, 205.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (296.5, 202.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (78.5, 197.0); Яркость: 4946; Размер: 20; Тип: звезда
Координаты: (365.5, 192.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (261.5, 181.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (63.5, 170.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (319.5, 166.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (297.5, 166.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (44.0, 158.5); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (334.5, 157.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (232.0, 156.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (174.5, 150.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (231.5, 143.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (78.5, 142.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (370.0, 138.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (299.5, 138.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (102.5, 115.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (282.0, 109.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (53.5, 109.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (41.0, 104.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (106.5, 96.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (258.0, 91.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (308.0, 89.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (110.0, 88.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (166.5, 86.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (102.0, 76.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (98.5, 75.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (142.5, 65.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (3.5, 63.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (359.0, 61.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (348.5, 7.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (73.0, 3.0); Яркость: 1020; Размер: 4; Тип: звезда
