Координаты: (173.0, 269.5); Яркость: 2924; Размер: 12; Тип: звезда
Координаты: (428.5, 268.5); Яркость: 12763; Размер: 65; Тип: звезда
Координаты: (282.5, 257.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (419.5, 256.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (72.5, 250.5); Яркость: 37004; Размер: 195; Тип: звезда
Координаты: (188.0, 197.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (372.5, 193.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (336.0, 190.5); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (42.0, 186.0); Яркость: 3803; Размер: 16; Тип: звезда
Координаты: (427.0, 183.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (100.5, 179.0); Яркость: 4745; Размер: 20; Тип: звезда
Координаты: (66.5, 171.0); Яркость: 3055; Размер: 12; Тип: звезда
Координаты: (418.5, 168.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (239.0, 205.5); Яркость: 890097; Размер: 6090; Тип: звезда
Координаты: (185.0, 155.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (9.5, 150.0); Яркость: 1523; Размер: 6; Тип: звезда
Координаты: (246.0, 140.0); Яркость: 4060; Размер: 16; Тип: звезда
Координаты: (462.0, 142.5); Яркость: 27718; Размер: 156; Тип: звезда
Координаты: (116.5, 119.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (114.0, 114.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (83.0, 89.0); Яркость: 3904; Размер: 16; Тип: звезда
Координаты: (171.5, 86.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (374.0, 84.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (43.5, 96.0); Яркость: 266290; Размер: 1974; Тип: звезда
Координаты: (435.0, 71.5); Яркость: 1316; Размер: 6; Тип: звезда
Координаты: (251.0, 65.0); Яркость: 12014; Размер: 60; Тип: звезда
Координаты: (327.0, 54.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (127.0, 53.0); Яркость: 3844; Размер: 16; Тип: звезда
Координаты: (35.0, 51.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (391.5, 51.5); Яркость: 2239; Размер: 9; Тип: звезда
Координаты: (442.0, 42.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (381.5, 41.5); Яркость: 2277; Размер: 9; Тип: звезда
Координаты: (291.0, 38.0); Яркость: 4060; Размер: 16; Тип: звезда
Координаты: (442.0, 35.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (268.0, 27.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (230.0, 21.0); Яркость: 3686; Размер: 16; Тип: звезда
Координаты: (202.0, 14.0); Яркость: 3946; Размер: 16; Тип: звезда
Координаты: (459.0, 1.0); Яркость: 1994; Размер: 8; Тип: звезда
Координаты: (51.5, 23.5); Яркость: 371076; Размер: 2397; Тип: звезда
