Координаты: (9.0, 260.0); Яркость: 3864; Размер: 16; Тип: звезда
Координаты: (30.5, 262.0); Яркость: 30800; Размер: 156; Тип: звезда
Координаты: (165.0, 241.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (93.0, 241.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (394.5, 222.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (156.0, 219.5); Яркость: 1511; Размер: 6; Тип: звезда
Координаты: (41.5, 219.5); Яркость: 13234; Размер: 63; Тип: звезда
Координаты: (39.5, 214.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (398.0, 210.5); Яркость: 3034; Размер: 12; Тип: звезда
Координаты: (104.0, 190.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (260.5, 178.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (293.0, 158.0); Яркость: 3849; Размер: 16; Тип: звезда
Координаты: (390.5, 163.0); Яркость: 39363; Размер: 208; Тип: звезда
Координаты: (178.0, 147.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (163.5, 131.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (289.0, 138.0); Яркость: 38842; Размер: 216; Тип: звезда
Координаты: (462.5, 135.0); Яркость: 80827; Размер: 462; Тип: звезда
Координаты: (110.0, 114.5); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (136.0, 105.0); Яркость: 4060; Размер: 16; Тип: звезда
Координаты: (202.0, 94.0); Яркость: 3875; Размер: 16; Тип: звезда
Координаты: (289.0, 78.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (236.5, 76.5); Яркость: 102568; Размер: 667; Тип: звезда
Координаты: (435.0, 51.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (373.0, 28.0); Яркость: 4047; Размер: 16; Тип: звезда
Координаты: (210.5, 28.0); Яркость: 68979; Размер: 456; Тип: звезда
Координаты: (386.0, 5.5); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (375.0, 3.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (77.5, 3.0); Яркость: 10392; Размер: 54; Тип: звезда
