Координаты: (136.5, 265.5); Яркость: 3425; Размер: 15; Тип: звезда
Координаты: (197.5, 255.5); Яркость: 5930; Размер: 25; Тип: звезда
Координаты: (28.0, 259.0); Яркость: 27820; Размер: 144; Тип: звезда
Координаты: (425.5, 252.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (18.5, 251.0); Яркость: 459; Размер: 2; Тип: звезда
Координаты: (342.0, 249.0); Яркость: 3928; Размер: 16; Тип: звезда
Координаты: (389.0, 243.0); Яркость: 4032; Размер: 16; Тип: звезда
Координаты: (329.0, 238.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (150.5, 239.5); Яркость: 16432; Размер: 77; Тип: звезда
Координаты: (379.5, 235.0); Яркость: 508; Размер: 2; Тип: звезда
Координаты: (203.5, 232.0); Яркость: 3052; Размер: 12; Тип: звезда
Координаты: (455.5, 228.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (219.5, 224.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (334.5, 212.0); Яркость: 1529; Размер: 6; Тип: звезда
Координаты: (157.0, 212.0); Яркость: 3951; Размер: 16; Тип: звезда
Координаты: (259.5, 199.5); Яркость: 245; Размер: 1; Тип: звезда
Координаты: (225.0, 196.5); Яркость: 2932; Размер: 12; Тип: звезда
Координаты: (221.0, 196.0); Яркость: 1009; Размер: 4; Тип: звезда
Координаты: (447.0, 181.0); Яркость: 10599; Размер: 48; Тип: звезда
Координаты: (262.5, 174.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (226.5, 172.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (111.5, 155.5); Яркость: 7333; Размер: 35; Тип: звезда
Координаты: (13.0, 175.0); Яркость: 210479; Размер: 1300; Тип: звезда
Координаты: (254.5, 141.0); Яркость: 1482; Размер: 6; Тип: звезда
Координаты: (281.5, 139.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (436.0, 136.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (115.5, 131.5); Яркость: 13757; Размер: 77; Тип: звезда
Координаты: (376.0, 124.0); Яркость: 3767; Размер: 16; Тип: звезда
Координаты: (16.0, 127.0); Яркость: 36812; Размер: 196; Тип: звезда
Координаты: (72.0, 123.0); Яркость: 19213; Размер: 96; Тип: звезда
Координаты: (237.0, 106.0); Яркость: 8678; Размер: 36; Тип: звезда
Координаты: (438.0, 100.5); Яркость: 15820; Размер: 72; Тип: звезда
Координаты: (207.5, 95.5); Яркость: 2153; Размер: 9; Тип: звезда
Координаты: (406.0, 89.5); Яркость: 5070; Размер: 20; Тип: звезда
Координаты: (142.0, 86.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (198.5, 68.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (190.5, 50.0); Яркость: 6841; Размер: 30; Тип: звезда
Координаты: (153.5, 50.0); Яркость: 19291; Размер: 90; Тип: звезда
Координаты: (14.5, 45.0); Яркость: 2945; Размер: 12; Тип: звезда
Координаты: (74.0, 43.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (455.0, 30.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (108.0, 10.5); Яркость: 62486; Размер: 378; Тип: звезда
